regPA_CL_GB_HORZ_DISC_ADJ reg:0xa2fd
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y0_0 reg:0xa2fe
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y0_1 reg:0xa2ff
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y0_2 reg:0xa300
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y0_3 reg:0xa301
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y0_0 reg:0xa302
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y0_1 reg:0xa303
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y0_2 reg:0xa304
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y0_3 reg:0xa305
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y1_0 reg:0xa306
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y1_1 reg:0xa307
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y1_2 reg:0xa308
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X0Y1_3 reg:0xa309
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y1_0 reg:0xa30a
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y1_1 reg:0xa30b
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y1_2 reg:0xa30c
regPA_SC_AA_SAMPLE_LOCS_PIXEL_X1Y1_3 reg:0xa30d
regPA_SC_AA_MASK_X0Y0_X1Y0 reg:0xa30e
regPA_SC_AA_MASK_X0Y1_X1Y1 reg:0xa30f
regPA_SC_SHADER_CONTROL reg:0xa310
regPA_SC_BINNER_CNTL_0 reg:0xa311
regPA_SC_BINNER_CNTL_1 reg:0xa312
regPA_SC_CONSERVATIVE_RASTERIZATION_CNTL reg:0xa313
regPA_SC_NGG_MODE_CNTL reg:0xa314
regVGT_VERTEX_REUSE_BLOCK_CNTL reg:0xa316
regVGT_OUT_DEALLOC_CNTL reg:0xa317
regCB_COLOR0_BASE reg:0xa318
regCB_COLOR0_BASE_EXT reg:0xa319
regCB_COLOR0_ATTRIB2 reg:0xa31a
regCB_COLOR0_VIEW reg:0xa31b
regCB_COLOR0_INFO reg:0xa31c
regCB_COLOR0_ATTRIB reg:0xa31d
regCB_COLOR0_DCC_CONTROL reg:0xa31e
regCB_COLOR0_CMASK reg:0xa31f
regCB_COLOR0_CMASK_BASE_EXT reg:0xa320
regCB_COLOR0_FMASK reg:0xa321
regCB_COLOR0_FMASK_BASE_EXT reg:0xa322
regCB_COLOR0_CLEAR_WORD0 reg:0xa323
regCB_COLOR0_CLEAR_WORD1 reg:0xa324
regCB_COLOR0_DCC_BASE reg:0xa325
regCB_COLOR0_DCC_BASE_EXT reg:0xa326
regCB_COLOR1_BASE reg:0xa327
regCB_COLOR1_BASE_EXT reg:0xa328
regCB_COLOR1_ATTRIB2 reg:0xa329
regCB_COLOR1_VIEW reg:0xa32a
regCB_COLOR1_INFO reg:0xa32b
regCB_COLOR1_ATTRIB reg:0xa32c
regCB_COLOR1_DCC_CONTROL reg:0xa32d
regCB_COLOR1_CMASK reg:0xa32e
regCB_COLOR1_CMASK_BASE_EXT reg:0xa32f
regCB_COLOR1_FMASK reg:0xa330
